"rank","first_name","last_name","position","team","games_played","receive_targ","receive_rec","receive_perc","receive_yards","receive_avg","receive_td","receive_lng","receive_20plus","receive_40plus"
1,"Stefon","Diggs","WR","BUF",16,168,127,0.755952380952381,1535,12.1,8,447,20,5
2,"DeAndre","Hopkins","WR","ARI",16,160,115,0.71875,1407,12.2,6,461,17,6
3,"Justin","Jefferson","WR","MIN",16,125,88,0.704,1400,15.9,7,503,23,4
4,"Calvin","Ridley","WR","ATL",15,143,90,0.629370629370629,1374,15.3,9,437,23,3
5,"DK","Metcalf","WR","SEA",16,129,83,0.643410852713178,1303,15.7,10,514,17,5
6,"Tyreek","Hill","WR","KC",15,134,87,0.649253731343284,1276,14.7,15,467,20,5
7,"Allen","Robinson","WR","CHI",16,151,102,0.675496688741722,1250,12.3,6,426,22,1
8,"Dj","Moore","WR","CAR",15,118,66,0.559322033898305,1193,18.1,4,544,19,6
9,"Brandin","Cooks","WR","HOU",15,119,81,0.680672268907563,1150,14.2,6,401,20,3
10,"Terry","McLaurin","WR","WAS",15,134,87,0.649253731343284,1118,12.9,4,433,17,3
11,"Amari","Cooper","WR","DAL",16,130,92,0.707692307692308,1114,12.1,5,436,13,3
12,"A.J.","Brown","WR","TEN",14,106,70,0.660377358490566,1075,15.4,11,438,14,5
13,"Mike","Evans","WR","TB",16,109,70,0.642201834862385,1006,14.4,13,374,20,2
14,"Corey","Davis","WR","TEN",14,92,65,0.706521739130435,984,15.1,5,375,14,3
15,"Marvin","Jones Jr.","WR","DET",16,115,76,0.660869565217391,978,12.9,9,333,19,1
16,"CeeDee","Lamb","WR","DAL",16,110,74,0.672727272727273,935,12.6,5,432,18,3
17,"Adam","Thielen","WR","MIN",15,108,74,0.685185185185185,925,12.5,14,350,11,1
18,"Tee","Higgins","WR","CIN",16,107,67,0.626168224299065,908,13.6,6,389,14,2
19,"Nelson","Agholor","WR","LV",16,82,48,0.585365853658537,896,18.7,8,496,15,5
20,"Will","Fuller","WR","HOU",11,75,53,0.706666666666667,879,16.6,8,338,14,4
21,"Chase","Claypool","WR","PIT",16,109,62,0.568807339449541,870,14,9,447,14,2
22,"Jerry","Jeudy","WR","DEN",16,113,52,0.460176991150442,856,16.5,3,440,14,4
23,"Michael","Gallup","WR","DAL",16,106,59,0.556603773584906,843,14.3,5,385,11,3
24,"Chris","Godwin","WR","TB",12,84,65,0.773809523809524,840,12.9,7,338,13,4
25,"DeVante","Parker","WR","MIA",14,103,63,0.611650485436893,793,12.6,4,259,10,0
26,"Marquise","Brown","WR","BAL",16,99,58,0.585858585858586,769,13.3,8,398,13,4
27,"T.Y.","Hilton","WR","IND",15,93,56,0.602150537634409,762,13.6,5,348,11,3
28,"Mike","Williams","WR","LAC",15,85,48,0.564705882352941,756,15.8,5,376,13,2
29,"Darius","Slayton","WR","NYG",16,97,50,0.515463917525773,751,15,3,340,10,2
30,"Brandon","Aiyuk","WR","SF",12,97,60,0.618556701030928,748,12.5,5,276,10,1
31,"Tim","Patrick","WR","DEN",15,79,51,0.645569620253165,742,14.5,6,383,14,4
32,"Jakobi","Meyers","WR","NE",14,81,59,0.728395061728395,729,12.4,0,261,12,0
33,"D.J.","Chark Jr.","WR","JAX",13,94,53,0.563829787234043,706,13.3,5,318,10,2
